AppID,Logger_Type,QC_Metric,Value,Units
1.11E+15,AirBP,Gross.Fail.Hi,15,psi
1.11E+15,AirBP,Gross.Fail.Lo,13,psi
1.11E+15,AirBP,Gross.Suspect.Hi,14.8,psi
1.11E+15,AirBP,Gross.Suspect.Lo,13,psi
1.11E+15,AirBP,Spike.Hi,0.25,psi
1.11E+15,AirBP,Spike.Lo,0.15,psi
1.11E+15,AirBP,RoC.SD.number,3,NA
1.11E+15,AirBP,RoC.SD.period,25,NA
1.11E+15,AirBP,Flat.Hi,15,psi
1.11E+15,AirBP,Flat.Lo,10,psi
1.11E+15,AirBP,Flat.Tolerance,0.001,NA
1.11E+15,AirTemp,Gross.Fail.Hi,38,C
1.11E+15,AirTemp,Gross.Fail.Lo,-25,C
1.11E+15,AirTemp,Gross.Suspect.Hi,35,C
1.11E+15,AirTemp,Gross.Suspect.Lo,-23,C
1.11E+15,AirTemp,Spike.Hi,10,C
1.11E+15,AirTemp,Spike.Lo,8,C
1.11E+15,AirTemp,RoC.SD.number,3,NA
1.11E+15,AirTemp,RoC.SD.period,25,NA
1.11E+15,AirTemp,Flat.Hi,20,C
1.11E+15,AirTemp,Flat.Lo,15,C
1.11E+15,AirTemp,Flat.Tolerance,0.01,NA
1.11E+15,Chlorophylla,Gross.Fail.Hi,100000,g/cm3
1.11E+15,Chlorophylla,Gross.Fail.Lo,-1,g/cm3
1.11E+15,Chlorophylla,Gross.Suspect.Hi,1000,g/cm3
1.11E+15,Chlorophylla,Gross.Suspect.Lo,-1,g/cm3
1.11E+15,Chlorophylla,Spike.Hi,10000,g/cm3
1.11E+15,Chlorophylla,Spike.Lo,1000,g/cm3
1.11E+15,Chlorophylla,RoC.SD.number,3,NA
1.11E+15,Chlorophylla,RoC.SD.period,25,NA
1.11E+15,Chlorophylla,Flat.Hi,60,g/cm3
1.11E+15,Chlorophylla,Flat.Lo,30,g/cm3
1.11E+15,Chlorophylla,Flat.Tolerance,0.01,NA
1.11E+15,Cond,Gross.Fail.Hi,1500,uS/cm
1.11E+15,Cond,Gross.Fail.Lo,10,uS/cm
1.11E+15,Cond,Gross.Suspect.Hi,1200,uS/cm
1.11E+15,Cond,Gross.Suspect.Lo,20,uS/cm
1.11E+15,Cond,Spike.Hi,10,uS/cm
1.11E+15,Cond,Spike.Lo,5,uS/cm
1.11E+15,Cond,RoC.SD.number,3,NA
1.11E+15,Cond,RoC.SD.period,25,NA
1.11E+15,Cond,Flat.Hi,60,uS/cm
1.11E+15,Cond,Flat.Lo,30,uS/cm
1.11E+15,Cond,Flat.Tolerance,0.01,NA
1.11E+15,Discharge,Gross.Fail.Hi,100000,ft3/s
1.11E+15,Discharge,Gross.Fail.Lo,-1,ft3/s
1.11E+15,Discharge,Gross.Suspect.Hi,1000,ft3/s
1.11E+15,Discharge,Gross.Suspect.Lo,-1,ft3/s
1.11E+15,Discharge,Spike.Hi,10000,ft3/s
1.11E+15,Discharge,Spike.Lo,1000,ft3/s
1.11E+15,Discharge,RoC.SD.number,3,NA
1.11E+15,Discharge,RoC.SD.period,25,NA
1.11E+15,Discharge,Flat.Hi,60,ft3/s
1.11E+15,Discharge,Flat.Lo,30,ft3/s
1.11E+15,Discharge,Flat.Tolerance,0.01,NA
1.11E+15,DO,Gross.Fail.Hi,20,mg/L
1.11E+15,DO,Gross.Fail.Lo,1,mg/L
1.11E+15,DO,Gross.Suspect.Hi,18,mg/L
1.11E+15,DO,Gross.Suspect.Lo,2,mg/L
1.11E+15,DO,Spike.Hi,10,mg/L
1.11E+15,DO,Spike.Lo,5,mg/L
1.11E+15,DO,RoC.SD.number,3,NA
1.11E+15,DO,RoC.SD.period,25,NA
1.11E+15,DO,Flat.Hi,60,mg/L
1.11E+15,DO,Flat.Lo,30,mg/L
1.11E+15,DO,Flat.Tolerance,0.01,NA
1.11E+15,GageHeight,Gross.Fail.Hi,100000,ft
1.11E+15,GageHeight,Gross.Fail.Lo,-1,ft
1.11E+15,GageHeight,Gross.Suspect.Hi,1000,ft
1.11E+15,GageHeight,Gross.Suspect.Lo,-1,ft
1.11E+15,GageHeight,Spike.Hi,10000,ft
1.11E+15,GageHeight,Spike.Lo,1000,ft
1.11E+15,GageHeight,RoC.SD.number,3,NA
1.11E+15,GageHeight,RoC.SD.period,25,NA
1.11E+15,GageHeight,Flat.Lo,60,ft
1.11E+15,GageHeight,Flat.Hi,30,ft
1.11E+15,GageHeight,Flat.Tolerance,0.01,NA
1.11E+15,pH,Gross.Fail.Hi,12,SU
1.11E+15,pH,Gross.Fail.Lo,3,SU
1.11E+15,pH,Gross.Suspect.Hi,11,SU
1.11E+15,pH,Gross.Suspect.Lo,4,SU
1.11E+15,pH,Spike.Hi,10,SU
1.11E+15,pH,Spike.Lo,5,SU
1.11E+15,pH,RoC.SD.number,3,NA
1.11E+15,pH,RoC.SD.period,25,NA
1.11E+15,pH,Flat.Hi,60,SU
1.11E+15,pH,Flat.Lo,30,SU
1.11E+15,pH,Flat.Tolerance,0.01,NA
1.11E+15,Turbidity,Gross.Fail.Hi,100000,NTU
1.11E+15,Turbidity,Gross.Fail.Lo,-1,NTU
1.11E+15,Turbidity,Gross.Suspect.Hi,1000,NTU
1.11E+15,Turbidity,Gross.Suspect.Lo,-1,NTU
1.11E+15,Turbidity,Spike.Hi,10000,NTU
1.11E+15,Turbidity,Spike.Lo,1000,NTU
1.11E+15,Turbidity,RoC.SD.number,3,NA
1.11E+15,Turbidity,RoC.SD.period,25,NA
1.11E+15,Turbidity,Flat.Hi,60,NTU
1.11E+15,Turbidity,Flat.Lo,30,NTU
1.11E+15,Turbidity,Flat.Tolerance,0.01,NA
1.11E+15,WaterP,Gross.Fail.Hi,17,psi
1.11E+15,WaterP,Gross.Fail.Lo,13,psi
1.11E+15,WaterP,Gross.Suspect.Hi,16.8,psi
1.11E+15,WaterP,Gross.Suspect.Lo,13.5,psi
1.11E+15,WaterP,Spike.Hi,0.7,psi
1.11E+15,WaterP,Spike.Lo,0.5,psi
1.11E+15,WaterP,RoC.SD.number,3,NA
1.11E+15,WaterP,RoC.SD.period,25,NA
1.11E+15,WaterP,Flat.Hi,15,psi
1.11E+15,WaterP,Flat.Lo,10,psi
1.11E+15,WaterP,Flat.Tolerance,0.001,NA
1.11E+15,WaterTemp,Gross.Fail.Hi,30,C
1.11E+15,WaterTemp,Gross.Fail.Lo,-2,C
1.11E+15,WaterTemp,Gross.Suspect.Hi,25,C
1.11E+15,WaterTemp,Gross.Suspect.Lo,-0.1,C
1.11E+15,WaterTemp,Spike.Hi,1.5,C
1.11E+15,WaterTemp,Spike.Lo,1,C
1.11E+15,WaterTemp,RoC.SD.number,3,NA
1.11E+15,WaterTemp,RoC.SD.period,25,NA
1.11E+15,WaterTemp,Flat.Hi,30,C
1.11E+15,WaterTemp,Flat.Lo,20,C
1.11E+15,WaterTemp,Flat.Tolerance,0.01,NA
